,temp_air,ghi,dni,dhi,wind_speed
2023-01-01 00:00:00,4.59,0.0,-0.0,0.0,4.22
2023-01-01 01:00:00,3.62,0.0,-0.0,0.0,3.9
2023-01-01 02:00:00,2.65,0.0,-0.0,0.0,3.58
2023-01-01 03:00:00,1.68,0.0,-0.0,0.0,3.26
2023-01-01 04:00:00,0.7,0.0,-0.0,0.0,2.94
2023-01-01 05:00:00,-0.27,0.0,-0.0,0.0,2.62
2023-01-01 06:00:00,-1.24,0.0,-0.0,0.0,2.3
2023-01-01 07:00:00,-2.22,9.0,0.0,9.0,1.98
2023-01-01 08:00:00,0.32,85.0,191.71,58.0,2.55
2023-01-01 09:00:00,1.01,70.0,4.68,69.0,3.1
2023-01-01 10:00:00,1.74,118.0,43.86,107.0,2.76
2023-01-01 11:00:00,2.04,138.0,100.06,113.0,2.41
2023-01-01 12:00:00,2.3,53.0,0.0,53.0,2.21
2023-01-01 13:00:00,2.34,24.0,0.0,24.0,2.21
2023-01-01 14:00:00,2.11,1.0,0.0,1.0,2.07
2023-01-01 15:00:00,1.8,0.0,-0.0,0.0,2.21
2023-01-01 16:00:00,1.76,0.0,-0.0,0.0,2.28
2023-01-01 17:00:00,1.69,0.0,-0.0,0.0,2.34
2023-01-01 18:00:00,1.72,0.0,-0.0,0.0,2.34
2023-01-01 19:00:00,1.45,0.0,-0.0,0.0,2.48
2023-01-01 20:00:00,1.62,0.0,-0.0,0.0,2.48
2023-01-01 21:00:00,1.65,0.0,-0.0,0.0,2.41
2023-01-01 22:00:00,1.68,0.0,-0.0,0.0,2.41
2023-01-01 23:00:00,1.4,0.0,-0.0,0.0,2.34
2023-01-02 00:00:00,1.27,0.0,-0.0,0.0,2.34
2023-01-02 01:00:00,1.12,0.0,-0.0,0.0,2.34
2023-01-02 02:00:00,0.6,0.0,-0.0,0.0,2.41
2023-01-02 03:00:00,0.51,0.0,-0.0,0.0,2.41
2023-01-02 04:00:00,0.24,0.0,-0.0,0.0,2.41
2023-01-02 05:00:00,-0.14,0.0,-0.0,0.0,2.34
2023-01-02 06:00:00,-0.17,0.0,-0.0,0.0,2.28
2023-01-02 07:00:00,-0.49,11.0,0.0,11.0,2.48
2023-01-02 08:00:00,-0.12,99.0,324.97,53.0,2.55
2023-01-02 09:00:00,0.67,123.0,121.13,97.0,3.31
2023-01-02 10:00:00,1.36,151.0,134.85,117.0,2.9
2023-01-02 11:00:00,1.85,146.0,119.31,116.0,3.1
2023-01-02 12:00:00,1.95,143.0,239.81,92.0,3.17
2023-01-02 13:00:00,1.94,64.0,65.02,55.0,3.24
2023-01-02 14:00:00,1.76,9.0,0.0,9.0,2.69
2023-01-02 15:00:00,1.59,0.0,-0.0,0.0,2.55
2023-01-02 16:00:00,1.61,0.0,-0.0,0.0,2.41
2023-01-02 17:00:00,1.44,0.0,-0.0,0.0,2.28
2023-01-02 18:00:00,1.07,0.0,-0.0,0.0,2.28
2023-01-02 19:00:00,0.63,0.0,-0.0,0.0,2.28
2023-01-02 20:00:00,0.58,0.0,-0.0,0.0,2.28
2023-01-02 21:00:00,0.75,0.0,-0.0,0.0,2.21
2023-01-02 22:00:00,0.4,0.0,-0.0,0.0,2.21
2023-01-02 23:00:00,0.69,0.0,-0.0,0.0,2.07
2023-01-03 00:00:00,0.82,0.0,-0.0,0.0,2.0
2023-01-03 01:00:00,0.98,0.0,-0.0,0.0,2.0
2023-01-03 02:00:00,0.81,0.0,-0.0,0.0,2.14
2023-01-03 03:00:00,0.55,0.0,-0.0,0.0,2.28
2023-01-03 04:00:00,0.42,0.0,-0.0,0.0,2.34
2023-01-03 05:00:00,0.39,0.0,-0.0,0.0,2.34
2023-01-03 06:00:00,0.43,0.0,-0.0,0.0,2.34
2023-01-03 07:00:00,0.82,2.0,0.0,2.0,2.14
2023-01-03 08:00:00,1.51,16.0,0.0,16.0,2.21
2023-01-03 09:00:00,2.55,75.0,9.27,73.0,2.07
2023-01-03 10:00:00,3.13,97.0,11.83,94.0,2.34
2023-01-03 11:00:00,3.33,128.0,63.2,112.0,2.28
2023-01-03 12:00:00,3.82,62.0,0.0,62.0,2.0
2023-01-03 13:00:00,4.28,34.0,0.0,34.0,1.86
2023-01-03 14:00:00,4.24,2.0,0.0,2.0,2.07
2023-01-03 15:00:00,3.14,0.0,-0.0,0.0,2.34
2023-01-03 16:00:00,2.38,0.0,-0.0,0.0,2.41
2023-01-03 17:00:00,1.79,0.0,-0.0,0.0,2.48
2023-01-03 18:00:00,1.44,0.0,-0.0,0.0,2.48
2023-01-03 19:00:00,0.93,0.0,-0.0,0.0,2.55
2023-01-03 20:00:00,0.67,0.0,-0.0,0.0,2.76
2023-01-03 21:00:00,0.5,0.0,-0.0,0.0,2.97
2023-01-03 22:00:00,0.48,0.0,-0.0,0.0,3.1
2023-01-03 23:00:00,0.57,0.0,-0.0,0.0,3.24
2023-01-04 00:00:00,0.94,0.0,-0.0,0.0,3.31
2023-01-04 01:00:00,1.22,0.0,-0.0,0.0,3.38
2023-01-04 02:00:00,1.59,0.0,-0.0,0.0,3.31
2023-01-04 03:00:00,2.29,0.0,-0.0,0.0,3.24
2023-01-04 04:00:00,2.77,0.0,-0.0,0.0,3.17
2023-01-04 05:00:00,3.22,0.0,-0.0,0.0,3.1
2023-01-04 06:00:00,3.66,0.0,-0.0,0.0,3.03
2023-01-04 07:00:00,3.44,10.0,0.0,10.0,3.1
2023-01-04 08:00:00,4.44,101.0,334.84,53.0,3.1
2023-01-04 09:00:00,5.36,154.0,285.67,92.0,3.03
2023-01-04 10:00:00,6.35,171.0,211.67,117.0,2.28
2023-01-04 11:00:00,6.76,190.0,317.63,109.0,2.34
2023-01-04 12:00:00,6.76,163.0,355.3,86.0,2.34
2023-01-04 13:00:00,6.64,102.0,357.01,51.0,2.28
2023-01-04 14:00:00,6.03,10.0,0.0,10.0,2.21
2023-01-04 15:00:00,4.99,0.0,-0.0,0.0,2.21
2023-01-04 16:00:00,4.25,0.0,-0.0,0.0,2.28
2023-01-04 17:00:00,4.03,0.0,-0.0,0.0,2.34
2023-01-04 18:00:00,3.67,0.0,-0.0,0.0,2.55
2023-01-04 19:00:00,3.54,0.0,-0.0,0.0,2.83
2023-01-04 20:00:00,3.48,0.0,-0.0,0.0,3.03
2023-01-04 21:00:00,3.57,0.0,-0.0,0.0,3.31
2023-01-04 22:00:00,3.48,0.0,-0.0,0.0,3.52
2023-01-04 23:00:00,3.46,0.0,-0.0,0.0,3.86
2023-01-05 00:00:00,3.79,0.0,-0.0,0.0,4.21
2023-01-05 01:00:00,4.29,0.0,-0.0,0.0,4.48
2023-01-05 02:00:00,4.81,0.0,-0.0,0.0,4.55
2023-01-05 03:00:00,5.14,0.0,-0.0,0.0,4.76
2023-01-05 04:00:00,5.67,0.0,-0.0,0.0,5.1
2023-01-05 05:00:00,6.26,0.0,-0.0,0.0,5.1
2023-01-05 06:00:00,6.67,0.0,-0.0,0.0,5.03
2023-01-05 07:00:00,6.69,10.0,0.0,10.0,4.83
2023-01-05 08:00:00,6.78,56.0,27.69,52.0,4.76
2023-01-05 09:00:00,7.08,58.0,0.0,58.0,4.48
2023-01-05 10:00:00,7.37,60.0,0.0,60.0,4.14
2023-01-05 11:00:00,7.79,186.0,299.64,109.0,3.79
2023-01-05 12:00:00,8.2,104.0,54.81,92.0,3.24
2023-01-05 13:00:00,8.43,66.0,61.97,57.0,2.97
2023-01-05 14:00:00,8.15,10.0,24.43,9.0,2.69
2023-01-05 15:00:00,7.11,0.0,-0.0,0.0,2.62
2023-01-05 16:00:00,6.66,0.0,-0.0,0.0,2.62
2023-01-05 17:00:00,5.96,0.0,-0.0,0.0,2.48
2023-01-05 18:00:00,5.31,0.0,-0.0,0.0,2.41
2023-01-05 19:00:00,5.62,0.0,-0.0,0.0,2.28
2023-01-05 20:00:00,5.38,0.0,-0.0,0.0,2.14
2023-01-05 21:00:00,4.74,0.0,-0.0,0.0,2.34
2023-01-05 22:00:00,4.54,0.0,-0.0,0.0,2.21
2023-01-05 23:00:00,4.32,0.0,-0.0,0.0,2.28
2023-01-06 00:00:00,4.67,0.0,-0.0,0.0,2.48
2023-01-06 01:00:00,5.11,0.0,-0.0,0.0,3.1
2023-01-06 02:00:00,5.29,0.0,-0.0,0.0,3.45
2023-01-06 03:00:00,5.12,0.0,-0.0,0.0,3.03
2023-01-06 04:00:00,5.02,0.0,-0.0,0.0,2.83
2023-01-06 05:00:00,5.04,0.0,-0.0,0.0,2.76
2023-01-06 06:00:00,4.89,0.0,-0.0,0.0,2.62
2023-01-06 07:00:00,4.01,12.0,24.49,11.0,2.62
2023-01-06 08:00:00,3.75,92.0,226.57,59.0,2.55
2023-01-06 09:00:00,4.38,188.0,554.71,66.0,2.41
2023-01-06 10:00:00,5.06,118.0,38.67,108.0,3.17
2023-01-06 11:00:00,5.64,79.0,0.0,79.0,3.79
2023-01-06 12:00:00,6.06,74.0,4.52,73.0,3.38
2023-01-06 13:00:00,5.86,115.0,480.61,44.0,1.93
2023-01-06 14:00:00,5.04,18.0,137.81,12.0,2.28
2023-01-06 15:00:00,3.94,0.0,-0.0,0.0,2.76
2023-01-06 16:00:00,3.59,0.0,-0.0,0.0,3.1
2023-01-06 17:00:00,3.54,0.0,-0.0,0.0,3.17
2023-01-06 18:00:00,3.57,0.0,-0.0,0.0,3.24
2023-01-06 19:00:00,3.34,0.0,-0.0,0.0,3.17
2023-01-06 20:00:00,3.4,0.0,-0.0,0.0,3.1
2023-01-06 21:00:00,3.22,0.0,-0.0,0.0,3.1
2023-01-06 22:00:00,3.04,0.0,-0.0,0.0,3.03
2023-01-06 23:00:00,2.85,0.0,-0.0,0.0,3.17
2023-01-07 00:00:00,2.88,0.0,-0.0,0.0,3.31
2023-01-07 01:00:00,2.86,0.0,-0.0,0.0,3.17
2023-01-07 02:00:00,2.77,0.0,-0.0,0.0,2.97
2023-01-07 03:00:00,2.8,0.0,-0.0,0.0,2.97
2023-01-07 04:00:00,2.89,0.0,-0.0,0.0,3.03
2023-01-07 05:00:00,3.14,0.0,-0.0,0.0,3.31
2023-01-07 06:00:00,3.35,0.0,-0.0,0.0,3.24
2023-01-07 07:00:00,3.37,21.0,238.74,11.0,3.31
2023-01-07 08:00:00,4.12,19.0,0.0,19.0,3.1
2023-01-07 09:00:00,4.96,121.0,103.8,98.0,3.17
2023-01-07 10:00:00,6.26,124.0,49.89,111.0,2.97
2023-01-07 11:00:00,7.53,231.0,600.92,74.0,2.97
2023-01-07 12:00:00,8.21,203.0,679.57,51.0,3.66
2023-01-07 13:00:00,8.46,113.0,432.38,48.0,3.24
2023-01-07 14:00:00,7.85,16.0,64.88,13.0,2.76
2023-01-07 15:00:00,6.63,0.0,-0.0,0.0,2.62
2023-01-07 16:00:00,5.84,0.0,-0.0,0.0,2.55
2023-01-07 17:00:00,5.31,0.0,-0.0,0.0,2.55
2023-01-07 18:00:00,5.11,0.0,-0.0,0.0,2.69
2023-01-07 19:00:00,4.09,0.0,-0.0,0.0,2.76
2023-01-07 20:00:00,3.86,0.0,-0.0,0.0,2.9
2023-01-07 21:00:00,3.71,0.0,-0.0,0.0,2.97
2023-01-07 22:00:00,3.51,0.0,-0.0,0.0,3.03
2023-01-07 23:00:00,3.31,0.0,-0.0,0.0,3.1
2023-01-08 00:00:00,3.18,0.0,-0.0,0.0,3.17
2023-01-08 01:00:00,3.15,0.0,-0.0,0.0,3.17
2023-01-08 02:00:00,3.11,0.0,-0.0,0.0,3.1
2023-01-08 03:00:00,3.08,0.0,-0.0,0.0,2.97
2023-01-08 04:00:00,3.03,0.0,-0.0,0.0,2.83
2023-01-08 05:00:00,3.27,0.0,-0.0,0.0,2.83
2023-01-08 06:00:00,3.38,0.0,-0.0,0.0,2.83
2023-01-08 07:00:00,4.01,22.0,255.44,11.0,2.83
2023-01-08 08:00:00,4.72,119.0,525.42,41.0,3.17
2023-01-08 09:00:00,5.64,134.0,147.76,101.0,3.38
2023-01-08 10:00:00,6.33,176.0,220.86,118.0,3.38
2023-01-08 11:00:00,6.92,68.0,0.0,68.0,3.72
2023-01-08 12:00:00,7.48,127.0,114.93,101.0,4.0
2023-01-08 13:00:00,7.54,11.0,0.0,11.0,3.72
2023-01-08 14:00:00,7.27,24.0,203.92,14.0,4.07
2023-01-08 15:00:00,7.18,0.0,-0.0,0.0,4.83
2023-01-08 16:00:00,7.89,0.0,-0.0,0.0,5.38
2023-01-08 17:00:00,8.16,0.0,-0.0,0.0,6.07
2023-01-08 18:00:00,8.26,0.0,-0.0,0.0,6.55
2023-01-08 19:00:00,7.99,0.0,-0.0,0.0,6.55
2023-01-08 20:00:00,7.49,0.0,-0.0,0.0,5.93
2023-01-08 21:00:00,7.17,0.0,-0.0,0.0,5.31
2023-01-08 22:00:00,6.93,0.0,-0.0,0.0,4.83
2023-01-08 23:00:00,6.52,0.0,-0.0,0.0,4.34
2023-01-09 00:00:00,5.98,0.0,-0.0,0.0,3.93
2023-01-09 01:00:00,5.33,0.0,-0.0,0.0,3.24
2023-01-09 02:00:00,4.76,0.0,-0.0,0.0,2.97
2023-01-09 03:00:00,4.32,0.0,-0.0,0.0,3.03
2023-01-09 04:00:00,4.64,0.0,-0.0,0.0,3.03
2023-01-09 05:00:00,4.85,0.0,-0.0,0.0,2.83
2023-01-09 06:00:00,4.79,0.0,-0.0,0.0,2.69
2023-01-09 07:00:00,4.05,19.0,135.25,13.0,2.69
2023-01-09 08:00:00,4.22,87.0,159.96,63.0,2.76
2023-01-09 09:00:00,4.97,180.0,448.45,79.0,2.55
2023-01-09 10:00:00,5.77,199.0,332.35,111.0,4.28
2023-01-09 11:00:00,6.37,186.0,255.61,118.0,4.07
2023-01-09 12:00:00,6.63,176.0,388.86,87.0,3.24
2023-01-09 13:00:00,6.7,107.0,307.98,59.0,3.1
2023-01-09 14:00:00,6.66,14.0,19.25,13.0,3.59
2023-01-09 15:00:00,6.82,0.0,-0.0,0.0,3.86
2023-01-09 16:00:00,7.01,0.0,-0.0,0.0,4.28
2023-01-09 17:00:00,7.31,0.0,-0.0,0.0,4.55
2023-01-09 18:00:00,7.64,0.0,-0.0,0.0,4.97
2023-01-09 19:00:00,7.52,0.0,-0.0,0.0,5.31
2023-01-09 20:00:00,7.28,0.0,-0.0,0.0,5.1
2023-01-09 21:00:00,7.24,0.0,-0.0,0.0,5.17
2023-01-09 22:00:00,7.37,0.0,-0.0,0.0,5.52
2023-01-09 23:00:00,7.48,0.0,-0.0,0.0,5.79
2023-01-10 00:00:00,7.54,0.0,-0.0,0.0,5.52
2023-01-10 01:00:00,7.33,0.0,-0.0,0.0,5.72
2023-01-10 02:00:00,7.41,0.0,-0.0,0.0,6.07
2023-01-10 03:00:00,7.64,0.0,-0.0,0.0,6.41
2023-01-10 04:00:00,7.68,0.0,-0.0,0.0,6.69
2023-01-10 05:00:00,6.72,0.0,-0.0,0.0,6.97
2023-01-10 06:00:00,5.75,0.0,-0.0,0.0,6.55
2023-01-10 07:00:00,5.87,15.0,43.69,13.0,6.76
2023-01-10 08:00:00,5.98,64.0,39.54,58.0,7.03
2023-01-10 09:00:00,6.09,98.0,30.81,91.0,7.79
2023-01-10 10:00:00,5.98,71.0,0.0,71.0,8.34
2023-01-10 11:00:00,6.05,42.0,0.0,42.0,7.79
2023-01-10 12:00:00,6.01,119.0,73.39,102.0,8.21
2023-01-10 13:00:00,6.06,88.0,138.57,66.0,7.45
2023-01-10 14:00:00,5.88,21.0,72.82,17.0,7.17
2023-01-10 15:00:00,5.05,0.0,-0.0,0.0,7.1
2023-01-10 16:00:00,5.06,0.0,-0.0,0.0,7.45
2023-01-10 17:00:00,4.99,0.0,-0.0,0.0,7.24
2023-01-10 18:00:00,4.69,0.0,-0.0,0.0,6.97
2023-01-10 19:00:00,4.93,0.0,-0.0,0.0,7.17
2023-01-10 20:00:00,4.93,0.0,-0.0,0.0,6.9
2023-01-10 21:00:00,4.78,0.0,-0.0,0.0,6.69
2023-01-10 22:00:00,4.71,0.0,-0.0,0.0,6.62
2023-01-10 23:00:00,4.74,0.0,-0.0,0.0,6.55
2023-01-11 00:00:00,4.76,0.0,-0.0,0.0,6.34
2023-01-11 01:00:00,4.8,0.0,-0.0,0.0,6.14
2023-01-11 02:00:00,4.85,0.0,-0.0,0.0,5.93
2023-01-11 03:00:00,4.77,0.0,-0.0,0.0,5.79
2023-01-11 04:00:00,4.59,0.0,-0.0,0.0,5.52
2023-01-11 05:00:00,4.34,0.0,-0.0,0.0,5.1
2023-01-11 06:00:00,4.14,0.0,-0.0,0.0,4.76
2023-01-11 07:00:00,4.17,17.0,63.39,14.0,4.55
2023-01-11 08:00:00,4.27,89.0,162.78,64.0,4.41
2023-01-11 09:00:00,4.5,115.0,65.4,100.0,4.28
2023-01-11 10:00:00,4.78,145.0,81.63,123.0,4.48
2023-01-11 11:00:00,5.24,90.0,3.69,89.0,5.72
2023-01-11 12:00:00,5.2,41.0,0.0,41.0,4.14
2023-01-11 13:00:00,5.34,73.0,49.45,65.0,4.21
2023-01-11 14:00:00,5.35,3.0,0.0,3.0,4.07
2023-01-11 15:00:00,4.81,0.0,-0.0,0.0,3.66
2023-01-11 16:00:00,4.87,0.0,-0.0,0.0,3.66
2023-01-11 17:00:00,4.9,0.0,-0.0,0.0,3.72
2023-01-11 18:00:00,4.76,0.0,-0.0,0.0,3.66
2023-01-11 19:00:00,4.55,0.0,-0.0,0.0,3.93
2023-01-11 20:00:00,4.02,0.0,-0.0,0.0,3.93
2023-01-11 21:00:00,3.41,0.0,-0.0,0.0,3.86
2023-01-11 22:00:00,2.96,0.0,-0.0,0.0,4.14
2023-01-11 23:00:00,2.83,0.0,-0.0,0.0,4.21
2023-01-12 00:00:00,2.9,0.0,-0.0,0.0,4.34
2023-01-12 01:00:00,3.16,0.0,-0.0,0.0,5.03
2023-01-12 02:00:00,2.44,0.0,-0.0,0.0,6.21
2023-01-12 03:00:00,2.58,0.0,-0.0,0.0,7.17
2023-01-12 04:00:00,2.5,0.0,-0.0,0.0,7.45
2023-01-12 05:00:00,2.19,0.0,-0.0,0.0,7.24
2023-01-12 06:00:00,2.11,0.0,-0.0,0.0,7.1
2023-01-12 07:00:00,2.72,4.0,0.0,4.0,7.1
2023-01-12 08:00:00,2.74,29.0,0.0,29.0,7.1
2023-01-12 09:00:00,2.52,20.0,0.0,20.0,6.97
2023-01-12 10:00:00,2.71,58.0,0.0,58.0,7.17
2023-01-12 11:00:00,3.18,126.0,36.49,116.0,7.45
2023-01-12 12:00:00,3.49,79.0,4.21,78.0,7.52
2023-01-12 13:00:00,3.59,32.0,0.0,32.0,7.24
2023-01-12 14:00:00,3.31,4.0,0.0,4.0,6.21
2023-01-12 15:00:00,2.94,0.0,-0.0,0.0,5.45
2023-01-12 16:00:00,2.44,0.0,-0.0,0.0,5.31
2023-01-12 17:00:00,2.25,0.0,-0.0,0.0,5.59
2023-01-12 18:00:00,2.08,0.0,-0.0,0.0,5.79
2023-01-12 19:00:00,2.32,0.0,-0.0,0.0,6.21
2023-01-12 20:00:00,2.07,0.0,-0.0,0.0,6.55
2023-01-12 21:00:00,1.32,0.0,-0.0,0.0,6.69
2023-01-12 22:00:00,0.82,0.0,-0.0,0.0,6.55
2023-01-12 23:00:00,0.09,0.0,-0.0,0.0,6.28
2023-01-13 00:00:00,-0.64,0.0,-0.0,0.0,6.0
2023-01-13 01:00:00,-1.11,0.0,-0.0,0.0,5.79
2023-01-13 02:00:00,-1.38,0.0,-0.0,0.0,5.79
2023-01-13 03:00:00,-1.74,0.0,-0.0,0.0,5.66
2023-01-13 04:00:00,-2.16,0.0,-0.0,0.0,5.38
2023-01-13 05:00:00,-2.51,0.0,-0.0,0.0,4.97
2023-01-13 06:00:00,-2.84,0.0,-0.0,0.0,4.55
2023-01-13 07:00:00,-3.06,29.0,295.46,14.0,4.21
2023-01-13 08:00:00,-2.8,130.0,526.62,47.0,3.59
2023-01-13 09:00:00,-2.21,222.0,718.01,54.0,3.86
2023-01-13 10:00:00,-1.55,262.0,713.56,66.0,3.52
2023-01-13 11:00:00,-0.99,269.0,743.85,63.0,3.17
2023-01-13 12:00:00,-0.68,221.0,660.87,62.0,2.76
2023-01-13 13:00:00,-0.68,149.0,648.33,40.0,2.14
2023-01-13 14:00:00,-1.05,41.0,387.75,16.0,1.38
2023-01-13 15:00:00,-1.97,0.0,-0.0,0.0,1.31
2023-01-13 16:00:00,-3.27,0.0,-0.0,0.0,1.31
2023-01-13 17:00:00,-3.5,0.0,-0.0,0.0,1.24
2023-01-13 18:00:00,-2.86,0.0,-0.0,0.0,1.03
2023-01-13 19:00:00,-3.83,0.0,-0.0,0.0,1.45
2023-01-13 20:00:00,-3.44,0.0,-0.0,0.0,2.07
2023-01-13 21:00:00,-2.25,0.0,-0.0,0.0,2.41
2023-01-13 22:00:00,-2.15,0.0,-0.0,0.0,2.34
2023-01-13 23:00:00,-2.53,0.0,-0.0,0.0,2.34
2023-01-14 00:00:00,-2.55,0.0,-0.0,0.0,2.69
2023-01-14 01:00:00,-2.58,0.0,-0.0,0.0,2.97
2023-01-14 02:00:00,-2.45,0.0,-0.0,0.0,3.24
2023-01-14 03:00:00,-2.45,0.0,-0.0,0.0,3.03
2023-01-14 04:00:00,-2.32,0.0,-0.0,0.0,2.62
2023-01-14 05:00:00,-2.38,0.0,-0.0,0.0,2.55
2023-01-14 06:00:00,-2.25,0.0,-0.0,0.0,2.76
2023-01-14 07:00:00,-1.44,21.0,75.95,17.0,2.83
2023-01-14 08:00:00,-0.99,0.0,0.0,0.0,2.55
2023-01-14 09:00:00,-0.2,150.0,181.84,107.0,2.83
2023-01-14 10:00:00,0.59,94.0,3.6,93.0,2.83
2023-01-14 11:00:00,1.07,105.0,10.72,102.0,2.62
2023-01-14 12:00:00,1.46,74.0,0.0,74.0,2.34
2023-01-14 13:00:00,1.38,81.0,64.16,70.0,1.93
2023-01-14 14:00:00,1.11,17.0,0.0,17.0,2.07
2023-01-14 15:00:00,0.52,0.0,-0.0,0.0,2.14
2023-01-14 16:00:00,0.23,0.0,-0.0,0.0,2.07
2023-01-14 17:00:00,0.2,0.0,-0.0,0.0,2.21
2023-01-14 18:00:00,0.49,0.0,-0.0,0.0,2.07
2023-01-14 19:00:00,0.2,0.0,-0.0,0.0,2.21
2023-01-14 20:00:00,0.31,0.0,-0.0,0.0,2.14
2023-01-14 21:00:00,0.16,0.0,-0.0,0.0,2.0
2023-01-14 22:00:00,0.02,0.0,-0.0,0.0,2.07
2023-01-14 23:00:00,0.01,0.0,-0.0,0.0,2.07
2023-01-15 00:00:00,0.19,0.0,-0.0,0.0,1.86
2023-01-15 01:00:00,0.34,0.0,-0.0,0.0,1.72
2023-01-15 02:00:00,0.44,0.0,-0.0,0.0,1.38
2023-01-15 03:00:00,0.5,0.0,-0.0,0.0,1.31
2023-01-15 04:00:00,0.52,0.0,-0.0,0.0,1.17
2023-01-15 05:00:00,0.51,0.0,-0.0,0.0,1.03
2023-01-15 06:00:00,0.47,0.0,-0.0,0.0,0.9
2023-01-15 07:00:00,0.31,19.0,54.85,16.0,0.83
2023-01-15 08:00:00,0.27,64.0,24.67,60.0,1.38
2023-01-15 09:00:00,0.2,110.0,46.01,99.0,1.79
2023-01-15 10:00:00,0.34,80.0,0.0,80.0,2.0
2023-01-15 11:00:00,0.39,108.0,10.6,105.0,2.14
2023-01-15 12:00:00,0.43,92.0,12.14,89.0,2.55
2023-01-15 13:00:00,0.22,52.0,5.72,51.0,2.69
2023-01-15 14:00:00,-0.2,4.0,0.0,4.0,2.76
2023-01-15 15:00:00,-0.63,0.0,-0.0,0.0,2.83
2023-01-15 16:00:00,-0.9,0.0,-0.0,0.0,2.83
2023-01-15 17:00:00,-1.19,0.0,-0.0,0.0,2.76
2023-01-15 18:00:00,-1.47,0.0,-0.0,0.0,2.55
2023-01-15 19:00:00,-1.69,0.0,-0.0,0.0,2.34
2023-01-15 20:00:00,-1.89,0.0,-0.0,0.0,2.14
2023-01-15 21:00:00,-2.04,0.0,-0.0,0.0,2.0
2023-01-15 22:00:00,-2.15,0.0,-0.0,0.0,2.0
2023-01-15 23:00:00,-2.27,0.0,-0.0,0.0,2.0
2023-01-16 00:00:00,-2.38,0.0,-0.0,0.0,2.07
2023-01-16 01:00:00,-2.51,0.0,-0.0,0.0,1.86
2023-01-16 02:00:00,-2.67,0.0,-0.0,0.0,1.86
2023-01-16 03:00:00,-2.82,0.0,-0.0,0.0,1.79
2023-01-16 04:00:00,-3.04,0.0,-0.0,0.0,1.66
2023-01-16 05:00:00,-3.14,0.0,-0.0,0.0,1.45
2023-01-16 06:00:00,-3.22,0.0,-0.0,0.0,1.38
2023-01-16 07:00:00,-2.76,16.0,17.6,15.0,1.45
2023-01-16 08:00:00,-2.67,53.0,6.08,52.0,1.66
2023-01-16 09:00:00,-2.48,50.0,0.0,50.0,1.72
2023-01-16 10:00:00,-2.1,63.0,0.0,63.0,1.66
2023-01-16 11:00:00,-1.77,112.0,13.97,108.0,1.72
2023-01-16 12:00:00,-1.48,48.0,0.0,48.0,2.07
2023-01-16 13:00:00,-1.39,71.0,22.43,67.0,2.28
2023-01-16 14:00:00,-1.3,32.0,80.2,26.0,2.55
2023-01-16 15:00:00,-1.6,0.0,-0.0,0.0,2.48
2023-01-16 16:00:00,-1.89,0.0,-0.0,0.0,2.69
2023-01-16 17:00:00,-1.96,0.0,-0.0,0.0,2.76
2023-01-16 18:00:00,-1.96,0.0,-0.0,0.0,2.83
2023-01-16 19:00:00,-2.37,0.0,-0.0,0.0,2.83
2023-01-16 20:00:00,-2.41,0.0,-0.0,0.0,3.03
2023-01-16 21:00:00,-2.31,0.0,-0.0,0.0,3.31
2023-01-16 22:00:00,-2.3,0.0,-0.0,0.0,3.31
2023-01-16 23:00:00,-2.08,0.0,-0.0,0.0,3.38
2023-01-17 00:00:00,-1.91,0.0,-0.0,0.0,3.45
2023-01-17 01:00:00,-1.71,0.0,-0.0,0.0,3.52
2023-01-17 02:00:00,-1.58,0.0,-0.0,0.0,3.66
2023-01-17 03:00:00,-1.48,0.0,-0.0,0.0,3.72
2023-01-17 04:00:00,-1.45,0.0,-0.0,0.0,3.72
2023-01-17 05:00:00,-1.42,0.0,-0.0,0.0,3.72
2023-01-17 06:00:00,-1.26,0.0,-0.0,0.0,3.72
2023-01-17 07:00:00,-1.23,23.0,67.7,19.0,3.72
2023-01-17 08:00:00,-0.96,66.0,23.94,62.0,3.59
2023-01-17 09:00:00,-0.64,81.0,4.09,80.0,3.45
2023-01-17 10:00:00,-0.18,86.0,0.0,86.0,2.97
2023-01-17 11:00:00,0.37,88.0,0.0,88.0,2.69
2023-01-17 12:00:00,0.87,73.0,0.0,73.0,2.41
2023-01-17 13:00:00,1.32,48.0,0.0,48.0,2.07
2023-01-17 14:00:00,1.47,14.0,0.0,14.0,1.93
2023-01-17 15:00:00,1.42,0.0,-0.0,0.0,1.93
2023-01-17 16:00:00,1.44,0.0,-0.0,0.0,1.86
2023-01-17 17:00:00,1.4,0.0,-0.0,0.0,1.59
2023-01-17 18:00:00,1.25,0.0,-0.0,0.0,1.31
2023-01-17 19:00:00,1.59,0.0,-0.0,0.0,1.17
2023-01-17 20:00:00,1.86,0.0,-0.0,0.0,0.9
2023-01-17 21:00:00,1.93,0.0,-0.0,0.0,0.69
2023-01-17 22:00:00,1.4,0.0,-0.0,0.0,0.83
2023-01-17 23:00:00,1.21,0.0,-0.0,0.0,1.1
2023-01-18 00:00:00,1.11,0.0,-0.0,0.0,1.31
2023-01-18 01:00:00,0.85,0.0,-0.0,0.0,1.38
2023-01-18 02:00:00,0.48,0.0,-0.0,0.0,1.45
2023-01-18 03:00:00,0.15,0.0,-0.0,0.0,1.45
